Time,precipitation
1-10 Apr 1990,58.89834
11-20 Apr 1990,116.6827
21-30 Apr 1990,132.6894
1-10 May 1990,131.2798
11-20 May 1990,75.53584
21-31 May 1990,86.76516
1-10 Jun 1990,71.93543
11-20 Jun 1990,78.22997
21-30 Jun 1990,71.03389
1-10 Jul 1990,90.33036
11-20 Jul 1990,63.27197
21-31 Jul 1990,45.39204
1-10 Aug 1990,24.90181
11-20 Aug 1990,22.04776
21-31 Aug 1990,62.65153
1-10 Sep 1990,50.59077
11-20 Sep 1990,63.15292
21-30 Sep 1990,93.45955
1-10 Oct 1990,139.6985
11-20 Oct 1990,118.7295
21-31 Oct 1990,126.699
1-10 Nov 1990,107.2303
11-20 Nov 1990,108.4007
21-30 Nov 1990,87.32809
1-10 Dec 1990,104.6364
11-20 Dec 1990,44.42926
21-31 Dec 1990,131.7077
1-10 Jan 1991,62.67583
11-20 Jan 1991,98.42528
21-31 Jan 1991,67.1966
1-10 Feb 1991,59.6036
11-20 Feb 1991,73.14577
21-28 Feb 1991,28.5208
1-10 Mar 1991,108.431
11-20 Mar 1991,75.26174
21-31 Mar 1991,104.8858
1-10 Apr 1991,81.3626
11-20 Apr 1991,99.36002
21-30 Apr 1991,88.33012
1-10 May 1991,119.6726
11-20 May 1991,124.8667
21-31 May 1991,112.6912
1-10 Jun 1991,71.7179
11-20 Jun 1991,74.25864
21-30 Jun 1991,96.41982
1-10 Jul 1991,84.8614
11-20 Jul 1991,50.13924
21-31 Jul 1991,76.78505
1-10 Aug 1991,61.39085
11-20 Aug 1991,19.29597
21-31 Aug 1991,19.27162
1-10 Sep 1991,31.45633
11-20 Sep 1991,75.66167
21-30 Sep 1991,126.9438
1-10 Oct 1991,111.3754
11-20 Oct 1991,59.60324
21-31 Oct 1991,122.2163
1-10 Nov 1991,152.2974
11-20 Nov 1991,122.7765
21-30 Nov 1991,115.8235
1-10 Dec 1991,119.5511
11-20 Dec 1991,100.8011
21-31 Dec 1991,104.2752
1-10 Jan 1992,59.7257
11-20 Jan 1992,55.54567
21-31 Jan 1992,93.44509
1-10 Feb 1992,58.40428
11-20 Feb 1992,62.38024
21-29 Feb 1992,56.84342
1-10 Mar 1992,83.65361
11-20 Mar 1992,63.68738
21-31 Mar 1992,45.99628
1-10 Apr 1992,66.97434
11-20 Apr 1992,119.6737
21-30 Apr 1992,116.8757
1-10 May 1992,94.83432
11-20 May 1992,107.7332
21-31 May 1992,104.2557
1-10 Jun 1992,76.32427
11-20 Jun 1992,44.39833
21-30 Jun 1992,47.5416
1-10 Jul 1992,74.50234
11-20 Jul 1992,60.99081
21-31 Jul 1992,27.35402
1-10 Aug 1992,55.70409
11-20 Aug 1992,67.60793
21-31 Aug 1992,69.71757
1-10 Sep 1992,57.32741
11-20 Sep 1992,92.496
21-30 Sep 1992,118.4381
1-10 Oct 1992,114.4317
11-20 Oct 1992,91.98046
21-31 Oct 1992,113.0171
1-10 Nov 1992,124.9898
11-20 Nov 1992,167.3566
21-30 Nov 1992,117.3261
1-10 Dec 1992,116.8562
11-20 Dec 1992,91.0106
21-31 Dec 1992,81.50827
1-10 Jan 1993,95.95528
11-20 Jan 1993,101.2905
21-31 Jan 1993,90.75491
1-10 Feb 1993,106.7484
11-20 Feb 1993,52.59244
21-28 Feb 1993,73.0876
1-10 Mar 1993,79.76671
11-20 Mar 1993,76.01495
21-31 Mar 1993,148.9243
1-10 Apr 1993,100.8873
11-20 Apr 1993,144.3697
21-30 Apr 1993,125.4017
1-10 May 1993,152.5033
11-20 May 1993,90.25468
21-31 May 1993,122.6434
1-10 Jun 1993,56.99577
11-20 Jun 1993,67.75494
21-30 Jun 1993,92.73344
1-10 Jul 1993,77.21131
11-20 Jul 1993,38.64069
21-31 Jul 1993,50.90978
1-10 Aug 1993,15.80064
11-20 Aug 1993,74.53584
21-31 Aug 1993,74.94672
1-10 Sep 1993,91.47459
11-20 Sep 1993,59.4481
21-30 Sep 1993,105.3581
1-10 Oct 1993,54.57902
11-20 Oct 1993,124.2176
21-31 Oct 1993,149.2752
1-10 Nov 1993,140.36
11-20 Nov 1993,145.5829
21-30 Nov 1993,125.1164
1-10 Dec 1993,130.4997
11-20 Dec 1993,124.4872
21-31 Dec 1993,96.94798
1-10 Jan 1994,84.19244
11-20 Jan 1994,125.5783
21-31 Jan 1994,103.4058
1-10 Feb 1994,65.99609
11-20 Feb 1994,53.08324
21-28 Feb 1994,95.78412
1-10 Mar 1994,121.2724
11-20 Mar 1994,85.84015
21-31 Mar 1994,113.1668
1-10 Apr 1994,140.3694
11-20 Apr 1994,113.1343
21-30 Apr 1994,95.61964
1-10 May 1994,90.39999
11-20 May 1994,115.4503
21-31 May 1994,147.3694
1-10 Jun 1994,67.30014
11-20 Jun 1994,60.52455
21-30 Jun 1994,77.20713
1-10 Jul 1994,66.44873
11-20 Jul 1994,20.70119
21-31 Jul 1994,79.13873
1-10 Aug 1994,61.94024
11-20 Aug 1994,29.79882
21-31 Aug 1994,32.49824
1-10 Sep 1994,34.83513
11-20 Sep 1994,35.19913
21-30 Sep 1994,132.7277
1-10 Oct 1994,130.9687
11-20 Oct 1994,124.7542
21-31 Oct 1994,108.908
1-10 Nov 1994,130.8322
11-20 Nov 1994,138.0591
21-30 Nov 1994,145.2927
1-10 Dec 1994,100.4036
11-20 Dec 1994,106.9284
21-31 Dec 1994,111.8163
1-10 Jan 1995,49.17861
11-20 Jan 1995,55.97653
21-31 Jan 1995,90.54414
1-10 Feb 1995,43.96915
11-20 Feb 1995,36.34716
21-28 Feb 1995,29.70284
1-10 Mar 1995,75.25629
11-20 Mar 1995,51.80403
21-31 Mar 1995,111.4051
1-10 Apr 1995,77.15995
11-20 Apr 1995,154.3317
21-30 Apr 1995,117.8017
1-10 May 1995,121.2666
11-20 May 1995,100.0689
21-31 May 1995,116.2943
1-10 Jun 1995,106.5064
11-20 Jun 1995,66.28223
21-30 Jun 1995,86.62454
1-10 Jul 1995,47.91466
11-20 Jul 1995,92.07106
21-31 Jul 1995,96.40246
1-10 Aug 1995,55.5749
11-20 Aug 1995,79.7181
21-31 Aug 1995,43.48829
1-10 Sep 1995,26.98252
11-20 Sep 1995,75.6026
21-30 Sep 1995,79.2943
1-10 Oct 1995,117.8686
11-20 Oct 1995,141.1831
21-31 Oct 1995,150.31
1-10 Nov 1995,163.7349
11-20 Nov 1995,153.6601
21-30 Nov 1995,102.6498
1-10 Dec 1995,94.0423
11-20 Dec 1995,130.7403
21-31 Dec 1995,124.9577
1-10 Jan 1996,72.59771
11-20 Jan 1996,157.297
21-31 Jan 1996,93.96946
1-10 Feb 1996,93.99781
11-20 Feb 1996,108.6802
21-29 Feb 1996,73.1638
1-10 Mar 1996,95.19994
11-20 Mar 1996,95.20668
21-31 Mar 1996,96.48501
1-10 Apr 1996,94.10989
11-20 Apr 1996,139.4951
21-30 Apr 1996,86.88049
1-10 May 1996,111.4656
11-20 May 1996,201.3879
21-31 May 1996,132.6751
1-10 Jun 1996,66.11404
11-20 Jun 1996,79.16884
21-30 Jun 1996,131.9819
1-10 Jul 1996,55.76594
11-20 Jul 1996,52.43121
21-31 Jul 1996,58.26014
1-10 Aug 1996,38.82036
11-20 Aug 1996,40.79915
21-31 Aug 1996,107.8743
1-10 Sep 1996,73.3672
11-20 Sep 1996,41.58626
21-30 Sep 1996,95.46266
1-10 Oct 1996,130.8608
11-20 Oct 1996,98.41388
21-31 Oct 1996,121.9573
1-10 Nov 1996,101.5444
11-20 Nov 1996,83.3486
21-30 Nov 1996,82.1539
1-10 Dec 1996,163.1164
11-20 Dec 1996,58.75735
21-31 Dec 1996,116.5161
1-10 Jan 1997,90.908
11-20 Jan 1997,128.7948
21-31 Jan 1997,97.28221
1-10 Feb 1997,105.6119
11-20 Feb 1997,86.9386
21-28 Feb 1997,53.79771
1-10 Mar 1997,103.5548
11-20 Mar 1997,73.078
21-31 Mar 1997,69.07771
1-10 Apr 1997,77.60053
11-20 Apr 1997,125.4835
21-30 Apr 1997,98.7502
1-10 May 1997,74.57823
11-20 May 1997,75.3152
21-31 May 1997,157.4486
1-10 Jun 1997,122.9688
11-20 Jun 1997,87.15918
21-30 Jun 1997,69.5532
1-10 Jul 1997,45.1434
11-20 Jul 1997,27.39219
21-31 Jul 1997,56.65601
1-10 Aug 1997,53.29308
11-20 Aug 1997,32.46394
21-31 Aug 1997,41.22824
1-10 Sep 1997,77.09737
11-20 Sep 1997,81.50014
21-30 Sep 1997,104.0809
1-10 Oct 1997,85.57064
11-20 Oct 1997,155.5812
21-31 Oct 1997,128.1644
1-10 Nov 1997,133.1615
11-20 Nov 1997,130.5023
21-30 Nov 1997,130.856
1-10 Dec 1997,77.95527
11-20 Dec 1997,69.7122
21-31 Dec 1997,55.67474
1-10 Jan 1998,42.55321
11-20 Jan 1998,67.64016
21-31 Jan 1998,50.52453
1-10 Feb 1998,106.9968
11-20 Feb 1998,90.72061
21-28 Feb 1998,47.1306
1-10 Mar 1998,60.98806
11-20 Mar 1998,75.9519
21-31 Mar 1998,135.637
