Time,monthly mean of daily rainfall
Jan 1993,6.110149
Feb 1993,6.453776
Mar 1993,8.030584
Apr 1993,8.960821
May 1993,3.15791
Jun 1993,0.8190244
Jul 1993,0.7717183
Aug 1993,4.442069
Sep 1993,8.06034
Oct 1993,7.357481
Nov 1993,12.6335
Dec 1993,7.819131
Jan 1994,7.184877
Feb 1994,7.776695
Mar 1994,9.183061
Apr 1994,11.24864
May 1994,8.311852
Jun 1994,5.524351
Jul 1994,5.201859
Aug 1994,3.880475
Sep 1994,6.198128
Oct 1994,11.78594
Nov 1994,10.93829
Dec 1994,5.429924
Jan 1995,2.87565
Feb 1995,4.056448
Mar 1995,7.241404
Apr 1995,8.142309
May 1995,7.981601
Jun 1995,7.730275
Jul 1995,7.186232
Aug 1995,4.346029
Sep 1995,7.082514
Oct 1995,7.876946
Nov 1995,7.335078
Dec 1995,6.975801
Jan 1996,7.427916
Feb 1996,11.83209
Mar 1996,10.22381
Apr 1996,7.823934
May 1996,12.04979
Jun 1996,8.205132
Jul 1996,5.065902
Aug 1996,4.806071
Sep 1996,6.84673
Oct 1996,9.920352
Nov 1996,4.954873
Dec 1996,7.401559
Jan 1997,13.27397
Feb 1997,7.473552
Mar 1997,5.932239
Apr 1997,8.016561
May 1997,9.138028
Jun 1997,7.092433
Jul 1997,4.910644
Aug 1997,4.813299
Sep 1997,7.73679
Oct 1997,9.295817
Nov 1997,9.898246
Dec 1997,2.332775
Jan 1998,7.117847
Feb 1998,8.505986
Mar 1998,7.169305
Apr 1998,9.258562
May 1998,9.401785
Jun 1998,7.277145
Jul 1998,5.035849
Aug 1998,6.335094
Sep 1998,9.882773
Oct 1998,9.283636
Nov 1998,9.093781
Dec 1998,6.83491
Jan 1999,6.773542
Feb 1999,7.478263
Mar 1999,4.940215
Apr 1999,8.584195
May 1999,9.104636
Jun 1999,8.030394
Jul 1999,3.574479
Aug 1999,3.781471
Sep 1999,9.003521
Oct 1999,9.80337
Nov 1999,9.747156
Dec 1999,12.97076
Jan 2000,8.688776
Feb 2000,12.3685
Mar 2000,8.658455
Apr 2000,4.751967
May 2000,15.0874
Jun 2000,6.290502
Jul 2000,4.641204
Aug 2000,4.203444
Sep 2000,7.624529
Oct 2000,8.434159
Nov 2000,7.618267
Dec 2000,4.266115
Jan 2001,4.293157
Feb 2001,3.970881
Mar 2001,5.475723
Apr 2001,4.513002
May 2001,5.369782
Jun 2001,5.539594
Jul 2001,4.620464
Aug 2001,4.487999
Sep 2001,5.6452
Oct 2001,6.597512
Nov 2001,9.465058
Dec 2001,7.850803
Jan 2002,3.043591
Feb 2002,4.756667
Mar 2002,8.078864
Apr 2002,8.787166
May 2002,8.32937
Jun 2002,8.512104
Jul 2002,5.044217
Aug 2002,2.77693
Sep 2002,5.390735
Oct 2002,7.896472
Nov 2002,5.380065
Dec 2002,7.103443
Jan 2003,1.611638
Feb 2003,7.005147
Mar 2003,5.483586
Apr 2003,5.292386
May 2003,4.694637
Jun 2003,6.673168
Jul 2003,3.033388
Aug 2003,3.928988
Sep 2003,5.411642
Oct 2003,7.809524
Nov 2003,9.805405
Dec 2003,4.903119
Jan 2004,6.440556
Feb 2004,6.582788
Mar 2004,2.48753
Apr 2004,8.410119
May 2004,9.352842
Jun 2004,7.633319
Jul 2004,5.360015
Aug 2004,4.768797
Sep 2004,6.515169
Oct 2004,9.087356
Nov 2004,14.25139
Dec 2004,8.32602
Jan 2005,5.51406
Feb 2005,7.488823
Mar 2005,7.396378
Apr 2005,5.419068
May 2005,8.921083
Jun 2005,4.779844
Jul 2005,4.587356
Aug 2005,3.165421
Sep 2005,6.313296
Oct 2005,8.134001
Nov 2005,5.564792
Dec 2005,8.531525
Jan 2006,7.176885
Feb 2006,7.093737
Mar 2006,7.406864
Apr 2006,8.624848
May 2006,9.468787
Jun 2006,7.695789
Jul 2006,5.091444
Aug 2006,4.897041
Sep 2006,6.963814
Oct 2006,9.827435
Nov 2006,10.02198
Dec 2006,8.294741
Jan 2007,6.859337
Feb 2007,6.891532
Mar 2007,6.319848
Apr 2007,6.840037
May 2007,8.230095
Jun 2007,6.788162
Jul 2007,5.151249
Aug 2007,4.559844
Sep 2007,6.681518
Oct 2007,9.730222
Nov 2007,8.916998
Dec 2007,8.168703
Jan 2008,6.868689
Feb 2008,7.355645
Mar 2008,7.334433
Apr 2008,8.448195
May 2008,9.025451
Jun 2008,7.318201
Jul 2008,5.054609
Aug 2008,4.611673
Sep 2008,6.010642
Oct 2008,9.376049
Nov 2008,9.769136
Dec 2008,7.526041
Jan 2009,6.359526
Feb 2009,6.790799
Mar 2009,9.158818
Apr 2009,8.116755
May 2009,8.310576
Jun 2009,5.986372
Jul 2009,3.227289
Aug 2009,4.369281
Sep 2009,1.945251
Oct 2009,7.694956
Nov 2009,6.954342
Dec 2009,5.604239
Jan 2010,1.104217
Feb 2010,6.206931
Mar 2010,2.1104
Apr 2010,9.948386
May 2010,10.22446
Jun 2010,8.304945
Jul 2010,5.911449
Aug 2010,2.401404
Sep 2010,6.616364
Oct 2010,7.542754
Nov 2010,10.93545
Dec 2010,11.5014
Jan 2011,5.851251
Feb 2011,7.430978
Mar 2011,8.726624
Apr 2011,11.92932
May 2011,6.839936
Jun 2011,5.17732
Jul 2011,7.234391
Aug 2011,3.589583
Sep 2011,5.133153
Oct 2011,7.80958
Nov 2011,15.99216
Dec 2011,13.95271
Jan 2012,10.71976
Feb 2012,6.554358
Mar 2012,7.347451
